timestamp,open,high,low,close
18-02-2019,10738.65,10759.9,10628.4,10640.95
19-02-2019,10636.7,10722.85,10585.65,10604.35
20-02-2019,10655.45,10752.7,10646.4,10735.45
21-02-2019,10744.1,10808.85,10721.5,10789.85
22-02-2019,10782.7,10801.55,10758.4,10791.65
25-02-2019,10813.25,10887.1,10788.05,10880.1
26-02-2019,10775.3,10888.75,10729.3,10835.3
27-02-2019,10881.2,10939.7,10751.2,10806.65
28-02-2019,10865.7,10865.7,10784.85,10792.5
01-03-2019,10842.65,10877.9,10823.1,10863.5
05-03-2019,10864.85,10994.9,10817.0,10987.45
06-03-2019,11024.85,11062.3,10998.85,11053.0
07-03-2019,11077.95,11089.05,11027.1,11058.2
08-03-2019,11038.85,11049.0,11008.95,11035.4
11-03-2019,11068.75,11180.9,11059.85,11168.05
12-03-2019,11231.35,11320.4,11227.0,11301.2
13-03-2019,11326.2,11352.3,11276.6,11341.7
14-03-2019,11382.5,11383.45,11313.75,11343.25
15-03-2019,11376.85,11487.0,11370.8,11426.85
18-03-2019,11473.85,11530.15,11412.5,11462.2
19-03-2019,11500.3,11543.85,11451.25,11532.4
20-03-2019,11553.35,11556.1,11503.1,11521.05
22-03-2019,11549.2,11572.8,11434.55,11456.9
25-03-2019,11395.65,11395.65,11311.6,11354.25
26-03-2019,11375.2,11496.75,11352.45,11483.25
27-03-2019,11531.45,11546.2,11413.0,11445.05
28-03-2019,11463.65,11588.5,11452.45,11570.0
29-03-2019,11625.45,11630.35,11570.15,11623.9
01-04-2019,11665.2,11738.1,11644.75,11669.15
02-04-2019,11711.55,11729.35,11655.85,11713.2
03-04-2019,11735.3,11761.0,11629.15,11643.95
04-04-2019,11660.2,11662.55,11559.2,11598.0
05-04-2019,11638.4,11689.65,11609.5,11665.95
08-04-2019,11704.35,11710.3,11549.1,11604.5
09-04-2019,11612.05,11683.9,11569.7,11671.95
10-04-2019,11646.85,11680.05,11571.75,11584.3
11-04-2019,11592.55,11606.7,11550.55,11596.7
12-04-2019,11612.85,11657.35,11578.8,11643.45
15-04-2019,11667.0,11704.6,11648.25,11690.35
16-04-2019,11736.2,11810.95,11731.55,11787.15
18-04-2019,11856.15,11856.15,11738.5,11752.8
22-04-2019,11727.05,11727.05,11583.95,11594.45
23-04-2019,11612.95,11645.95,11564.8,11575.95
24-04-2019,11601.5,11740.85,11578.85,11726.15
25-04-2019,11735.7,11796.75,11624.3,11641.8
26-04-2019,11683.75,11762.9,11661.75,11754.65
30-04-2019,11748.75,11756.25,11655.9,11748.15
02-05-2019,11725.55,11789.3,11699.55,11724.75
03-05-2019,11722.6,11770.9,11699.35,11712.25
06-05-2019,11605.8,11632.55,11571.35,11598.25
07-05-2019,11651.5,11657.05,11484.45,11497.9
08-05-2019,11478.7,11479.1,11346.95,11359.45
09-05-2019,11322.4,11357.6,11255.05,11301.8
10-05-2019,11314.15,11345.8,11251.05,11278.9
13-05-2019,11258.7,11300.2,11125.6,11148.2
14-05-2019,11151.65,11294.75,11108.3,11222.05
15-05-2019,11271.7,11286.8,11136.95,11157.0
16-05-2019,11180.35,11281.55,11143.35,11257.1
17-05-2019,11261.9,11426.15,11259.85,11407.15
20-05-2019,11651.9,11845.2,11591.7,11828.25
21-05-2019,11863.65,11883.55,11682.8,11709.1
22-05-2019,11727.95,11784.8,11682.4,11737.9
23-05-2019,11901.3,12041.15,11614.5,11657.05
24-05-2019,11748.0,11859.0,11658.1,11844.1
27-05-2019,11855.5,11957.15,11812.4,11924.75
28-05-2019,11958.35,11958.55,11864.9,11928.75
29-05-2019,11905.8,11931.9,11836.8,11861.1
30-05-2019,11865.3,11968.55,11859.4,11945.9
31-05-2019,11999.8,12039.25,11829.45,11922.8
03-06-2019,11953.75,12103.05,11920.1,12088.55
04-06-2019,12052.65,12095.2,12005.85,12021.65
06-06-2019,12039.8,12039.8,11830.25,11843.75
07-06-2019,11865.2,11897.5,11769.5,11870.65
10-06-2019,11934.9,11975.05,11871.75,11922.7
11-06-2019,11959.85,12000.35,11904.35,11965.6
12-06-2019,11962.45,11962.45,11866.35,11906.2
13-06-2019,11873.9,11931.35,11817.05,11914.05
14-06-2019,11910.1,11911.85,11797.7,11823.3
